timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-02-07,140.96,157.0,130.01,137.21,178588.57054,1518047999999,25755598.0586562,63415,88303.34573,12736779.3840862,0
2018-02-08,137.97,143.5,137.2,142.37,3877.47235,1518134399999,547053.0073028,1385,1905.60024,268489.3574577,0
2018-02-09,142.37,164.4,142.37,163.73,65205.08736,1518220799999,10150897.4215024,27598,32699.20208,5088066.4455889,0
2018-02-10,163.74,169.0,146.01,154.65,133107.16189,1518307199999,21097674.3139538,57987,63172.37194,10014612.2521394,0
2018-02-11,154.62,156.1,139.0,148.28,90638.82249,1518393599999,13496062.2759088,51011,42721.53643,6352773.8590054,0
2018-02-12,148.28,163.75,146.04,161.49,92515.29686,1518479999999,14589621.4703776,49748,45833.44529,7226598.567107,0
2018-02-13,161.55,162.95,152.0,159.63,76565.21628,1518566399999,12069558.8341741,40116,36067.6516,5682209.1451396,0
2018-02-14,159.45,218.6,158.94,212.25,734010.6511,1518652799999,144508206.8909185,274802,353663.59617,69704908.0174566,0
2018-02-15,212.25,236.66,206.5,220.64,676400.69461,1518739199999,150844274.5377131,285935,328717.11409,73340181.6297803,0
2018-02-16,220.64,235.58,208.56,228.08,408040.45123,1518825599999,90688669.0492849,183771,200015.7884,44456763.5819597,0
2018-02-17,228.0,232.2,222.78,228.0,190064.55131,1518911999999,43303634.0217707,88178,88820.88315,20252097.7658204,0
2018-02-18,228.08,231.39,210.1,213.66,302164.90588,1518998399999,66870686.0898543,134218,143625.12839,31788439.1251575,0
2018-02-19,213.23,226.5,196.0,221.44,171716.19683,1519084799999,37779444.7049656,83172,83717.63492,18469716.1411712,0
2018-02-20,221.44,254.8,221.0,228.51,534334.84146,1519171199999,128317944.018186,198469,262679.81851,63044328.8822712,0
2018-02-21,228.5,233.53,203.12,209.6,493443.00002,1519257599999,106976453.0927831,174112,238801.17417,51774388.9160998,0
2018-02-22,209.6,222.0,188.0,192.61,396496.5489,1519343999999,80299085.5945632,152795,189954.96977,38471408.7955793,0
2018-02-23,192.69,216.28,182.0,206.4,427034.15419,1519430399999,85820511.9191345,168771,212092.58389,42574241.8231795,0
2018-02-24,206.38,219.0,192.3,206.5,326443.09261,1519516799999,67239268.0124955,118056,150389.37783,31010729.5058058,0
2018-02-25,206.69,223.17,198.94,217.78,314689.26189,1519603199999,66459733.7292181,98439,158263.98399,33434766.0398242,0
2018-02-26,218.16,232.3,214.43,218.5,408480.12476,1519689599999,91104241.0586588,130023,190918.09356,42612183.5396874,0
2018-02-27,218.25,224.36,211.8,214.6,248945.78729,1519775999999,54293702.4471469,80132,103419.7239,22549585.7091415,0
2018-02-28,214.94,223.71,201.5,201.86,185588.08799,1519862399999,39526352.1311294,64499,83032.24038,17713389.5001738,0
2018-03-01,201.86,215.0,200.2,209.17,121521.21293,1519948799999,25319046.4794265,48132,59236.04354,12350137.141851,0
2018-03-02,209.14,214.47,203.43,212.8,89853.18198,1520035199999,18725901.7608705,39878,40881.60956,8524518.3912194,0
2018-03-03,212.8,218.39,208.0,210.04,120120.98049,1520121599999,25787453.0950883,43220,59657.92828,12822101.150437,0
2018-03-04,210.0,215.34,204.5,213.19,67079.9353,1520207999999,14045210.1229357,30477,31262.83692,6553150.3420845,0
2018-03-05,213.19,217.0,208.17,210.14,71680.40092,1520294399999,15251073.1271395,31661,31898.03614,6792958.3372406,0
2018-03-06,210.03,210.49,191.31,196.24,130006.53725,1520380799999,26094574.1249549,48522,61495.59179,12312106.9157672,0
2018-03-07,196.2,199.28,173.08,185.25,229372.21016,1520467199999,42660481.2231973,68175,124921.56473,23167918.5862846,0
2018-03-08,185.33,187.5,173.69,175.24,160132.53652,1520553599999,28906501.3347185,53926,79610.77496,14382372.1110206,0
2018-03-09,175.06,190.0,157.68,185.79,308773.92425,1520639999999,53588984.0124714,95879,152486.57819,26514310.100404,0
2018-03-10,185.88,194.99,174.48,176.74,187043.85418,1520726399999,34636318.1337597,61707,90030.04357,16701700.401926,0
2018-03-11,176.85,194.0,169.85,188.16,197705.66569,1520812799999,36114840.7437673,64755,99996.46121,18287681.2564953,0
2018-03-12,188.16,192.88,173.58,177.8,142835.10745,1520899199999,26187028.2031548,54266,65520.30963,12022979.2638337,0
2018-03-13,177.8,182.9,170.51,175.01,115964.95615,1520985599999,20385448.3967721,47319,58657.78805,10316805.8006394,0
2018-03-14,175.38,177.52,156.5,160.15,151320.17882,1521071999999,25068333.7276699,58616,69351.03147,11512190.4785398,0
2018-03-15,160.0,167.7,149.55,164.0,207428.04449,1521158399999,33196769.342339,63297,101178.12101,16216514.3306561,0
2018-03-16,164.0,171.6,157.5,164.1,113818.45328,1521244799999,18718175.6100631,41920,60631.95644,9981817.6587142,0
2018-03-17,164.12,165.96,150.2,151.75,105128.93202,1521331199999,16522818.8292132,38038,49012.46885,7709985.4293351,0
2018-03-18,151.7,158.0,136.86,153.5,241693.69755,1521417599999,35451731.9601266,80391,113562.9799,16657410.3027595,0
2018-03-19,153.59,163.88,150.66,161.2,171855.32008,1521503999999,26919936.3979844,63302,84253.00778,13203049.6719656,0
2018-03-20,161.18,174.0,155.41,168.24,125783.56494,1521590399999,20695744.2247014,47676,62673.93637,10307779.3855189,0
2018-03-21,168.5,175.88,165.22,168.54,110902.81246,1521676799999,18938393.1458664,45091,53541.38786,9146615.1048007,0
2018-03-22,168.43,172.64,159.51,163.65,100604.62741,1521763199999,16639641.3230324,37553,51116.5386,8462272.4358766,0
2018-03-23,163.65,169.5,156.13,168.66,80739.90111,1521849599999,12990746.1679419,31977,39652.3336,6382270.7174815,0
2018-03-24,168.97,169.74,157.73,158.92,73773.75243,1521935999999,12109450.7169416,29402,34255.96771,5622487.4182918,0
2018-03-25,158.81,162.89,156.75,160.01,46203.18669,1522022399999,7379174.8376475,21307,20838.48465,3331025.100664,0
2018-03-26,160.0,161.06,141.56,147.83,99508.29226,1522108799999,14928884.4889386,40209,47261.55971,7086969.247251,0
2018-03-27,147.71,149.34,134.4,135.0,103463.3891,1522195199999,14565091.8261918,35412,47854.87858,6734615.2616068,0
2018-03-28,135.0,139.75,130.1,131.22,83839.85944,1522281599999,11261253.9955433,27705,39771.88128,5342878.0307099,0
2018-03-29,131.31,132.6,112.51,114.7,187392.76989,1522367999999,22462324.1153651,53948,87848.64398,10513595.5986253,0
2018-03-30,114.55,126.45,109.77,118.35,252079.1424,1522454399999,29552457.2381743,69432,125984.91161,14761716.4883362,0
2018-03-31,118.1,124.28,115.26,116.05,128237.7884,1522540799999,15387597.5538793,37066,63340.08481,7599637.0943274,0
